facility_id,overture_id,facility_name,name_review_flag,county,city,county_source,centroid_lon,centroid_lat,area_ft2,label,subclass,confidence_score,confidence_tier,is_warehouse,warehouse_prob,source,scag_land_use_class,APN,costar_match_confidence,intensity_tier,is_high_cube,is_likely_crossdock,ops_start_year,year_source,year_confidence,lodes_onset_year,year_built,temporal_use,suspect_stale_year
SCAG-WH-00595,,,False,LA,Cerritos,original,-118.106483,33.88566,178118,confirmed,FI-IND,65.0,High,1,0.9,osm,warehouse,7016001088,medium,High,1.0,0.0,2007,costar,high,,2007,usable,False
SCAG-WH-00596,fbedb0f5-bb92-47a3-87bb-4f03a3313fa8,,False,LA,Vernon,original,-118.172884,33.998309,177934,confirmed,FI-IND,65.0,High,1,0.836,overture,warehouse,6332001005,medium,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00597,,,False,LA,Industry,original,-117.950407,34.012364,177681,confirmed,FI-IND,55.0,Medium,0,0.381,osm,warehouse,8242015039,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00598,,,False,LA,Vernon,original,-118.193895,34.006629,177570,confirmed,FI-IND,35.0,Medium,0,0.381,ms,industrial,5243022010,weak,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00599,7abfbabc-f367-41fb-8749-ec85865f1fc7,,False,LA,Los Angeles,original,-118.268727,34.047887,177430,confirmed,U-DF,65.0,Medium,0,0.407,overture,warehouse,5137008032,medium,Low,0.0,0.0,1952,costar,high,2003,1952,usable,False
SCAG-WH-00600,02be5fb8-153c-45eb-b698-b6cbf11bfa58,,False,LA,Carson,original,-118.235007,33.829048,177412,confirmed,U-DF,60.0,High,1,0.826,overture,warehouse,7316025100,medium,High,1.0,0.0,2001,costar,high,2020,2001,usable,False
SCAG-WH-00601,357bbd5c-6ffc-4330-9220-fac2eb3d8d36,,False,LA,Compton,original,-118.222509,33.869522,177340,confirmed,FI-IND,35.0,High,1,0.795,overture,industrial,7306010035,medium,Medium,0.0,0.0,1977,costar,high,2003,1977,usable,False
SCAG-WH-00602,,,False,LA,Pomona,original,-117.754971,34.092788,177314,confirmed,FI-IND,55.0,Medium,0,0.381,osm,warehouse,8371012007,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00603,d2ebc699-2f21-41d6-82db-b2178c041641,,False,LA,Pomona,original,-117.741553,34.020624,177094,candidate,candidate (unsubtyped),25.0,Medium,0,0.392,overture,industrial,8331016017,none,,,,,unknown,low,,,no_onset,False
SCAG-WH-00604,1ffa3f26-124e-40ad-a41c-2783a2432a66,,False,LA,Vernon,original,-118.235675,33.990194,177006,confirmed,FI-IND,35.0,High,1,0.804,overture,industrial,6308018023,medium,,,,,unknown,low,,,no_onset,False
SCAG-WH-00605,5f882cef-3bce-4d47-a952-ffcf75fffeeb,,False,LA,Carson,original,-118.277143,33.884871,176961,confirmed,U-DF,35.0,Medium,0,0.361,overture,industrial,6125017800,high,Low,0.0,0.0,1962,costar,high,,1962,usable,False
SCAG-WH-00606,f125ba8c-cbf0-43d4-9db6-d29319b6fa55,,False,LA,Torrance,original,-118.316762,33.851217,176767,candidate,candidate (unsubtyped),30.0,Medium,0,0.382,overture,industrial,7352003070,none,,,,2003,lodes,medium,2003,,lodes7_truncation,False
SCAG-WH-00607,,,False,LA,Santa Fe Springs,original,-118.062692,33.953928,176689,confirmed,U-DF,30.0,Medium,0,0.466,osm,industrial,8168009036,medium,Medium,0.0,0.0,1966,costar,high,2021,1966,usable,True
SCAG-WH-00608,9b129e3a-6604-40b6-b14a-ebfbce8608a5,Handler Team Center,False,LA,El Segundo,original,-118.391259,33.924615,176648,confirmed,FI-IND,35.0,Medium,0,0.388,overture,industrial,4138019002,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00609,82efefe2-51a7-4a79-ad75-63a9d161ad17,,False,LA,Commerce,original,-118.140048,33.987163,176457,confirmed,FI-IND,35.0,Medium,0,0.466,overture,industrial,6332007015,medium,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00610,,,False,LA,Commerce,original,-118.154146,33.986799,176288,confirmed,FI-IND,65.0,Medium,0,0.381,osm,warehouse,6332012056,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00611,,,False,LA,Industry,original,-117.918405,34.000346,176186,confirmed,FI-IND,55.0,High,1,0.862,osm,warehouse,8264010024,medium,High,0.0,0.0,1998,costar,high,2020,1998,usable,False
SCAG-WH-00612,,,False,LA,Pico Rivera,original,-118.102225,33.98128,176108,confirmed,FI-IND,65.0,Medium,0,0.381,osm,warehouse,6369027019,none,High,1.0,0.0,2004,costar,high,2008,2004,usable,False
SCAG-WH-00613,,,False,LA,Pomona,original,-117.806248,34.048819,175309,confirmed,U-DF,55.0,Medium,0,0.481,osm,warehouse,8710013021,medium,Medium,0.0,0.0,1983,costar,high,2020,1983,usable,False
SCAG-WH-00614,979e2598-8fd8-4d63-ac78-822bf58ed4f1,,False,LA,Carson,original,-118.219268,33.842566,175133,confirmed,FI-IND,65.0,Medium,1,0.536,overture,warehouse,7306023061,medium,Medium,0.0,0.0,1972,costar,high,2003,1972,usable,False
SCAG-WH-00615,603814d3-d9bc-4b5f-97c0-9dde33bce3b9,,False,LA,Paramount,original,-118.165262,33.882619,175066,confirmed,FI-IND,35.0,Medium,0,0.384,overture,industrial,7102021036,none,,,,2004,lodes,medium,2004,,usable,False
